users,tweets,show,rocauc,rec,prec,most_similar,mood,list_friends,label,filter,f1,collect_tweets,collect,benchmark,acc,<users_dir>,<user_ids_file>,<track_file>,<settings_file>,<output_tweets>,<output_dir>,<labeled_tweets>,<input_tweets>,<input_dir>,<friends_dir>,-u,-p,-m,--top-features,--stopwords,--roc,--reduce-func,--proba,--no-rt,--n-folds,--n-examples,--min-df,--liwc,--k-features,--help,--features-func,--emoticons,--each,--count,--clf-options,--clf,--binary,--begin-line
False,False,False,0.750114181644,0.622944458757,0.453683719118,False,True,False,False,False,0.522160920217,False,False,True,0.843407470977,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.17,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.651908687456,0.339214272681,0.602684323436,False,True,False,False,False,0.429257539627,False,False,True,0.879040024792,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.66,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.684805060717,0.425103566866,0.553975250964,False,True,False,False,False,0.476265052114,False,False,True,0.873682328542,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.44,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.598333524876,0.210189756814,0.730158360158,False,True,False,False,False,0.317953519417,False,False,True,0.879602016735,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.91,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.623723947343,0.268028844802,0.678126487089,False,True,False,False,False,0.37754735242,False,False,True,0.88171648907,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.82,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.683040990913,0.419436437285,0.55941712655,False,True,False,False,False,0.474869649242,False,False,True,0.874809888198,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.46,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.756032411293,0.73138653808,0.353824412287,False,True,False,False,False,0.475573211625,False,False,True,0.775671052945,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.08,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.601780522821,0.924906713694,0.170424093973,False,True,False,False,False,0.287643101019,False,False,True,0.372902810556,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.02,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.656211463764,0.349648849134,0.597950929936,False,True,False,False,False,0.436144425316,False,False,True,0.879041216716,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.63,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.628831038577,0.282540345069,0.64197601115,False,True,False,False,False,0.387038459825,False,False,True,0.880165200601,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.78,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
